stranger: stranger 
etc: etc 
hand: hands 
peach: peaches 
influenced: influenced 
hanes: hanes 
beautiful: beautiful 
inside: inside 
behind: behind 
half: half 
use: use 
ed: ed 
studio: studio 
fact: facts 
vocalist: vocalists 
kurstin: kurstin 
week: week 
question: question 
eazy: eazy 
like: like 
ti: ti 
broken: broken 
touch: touch 
written: written 
something: something 
capitol: capitol 
genius: genius 
b: b 
repeating: repeating 
jamee: jamee 
ascap: ascap 
sahyoun: sahyoun 
time: time 
x: x 
alligator: alligator 
pre: pre 
fourth: fourth 
haha: haha 
ey: ey 
regret: regret 
meant: meant 
chart: charts 
spoke: spoke 
cancel: cancel 
produced: produced 
llc: llc 
over: overs 
responded: responded 
ran: ran 
throwing: throwing 
john: john 
really: really 
explaining: explaining 
without: without 
see: see 
nothing: nothing 
